"Ruta","Pop","X","Y","KNKOD","KNNAMN"
44770004018000,4,370906,6568987,1785,"Sffle"
46470004310000,22,561727,6848781,2161,"Ljusdal"
44580003937000,21,345996,6489444,1487,"Vnersborg"
47090004412000,3,630960,6946578,2280,"Hrnsand"
46390004262000,12,550188,6801326,2121,"Ovanker"
47910004034000,5,684635,6563003,136,"Haninge"
45190003780000,27,395257,6328318,1315,"Hylte"
45660003622000,61,430727,6167357,1265,"Sjbo"
48020004604000,1,737698,7132736,2404,"Vindeln"
47790004129000,4,679616,6658737,380,"Uppsala"
45390003800000,36,416632,6346862,662,"Gislaved"
44640003977000,1,354927,6528967,1492,"ml"
45180003611000,15,382095,6159751,1280,"Malm"
45740003611000,13,437918,6155825,1270,"Tomelilla"
48140003824000,6,692400,6351772,980,"Gotland"
46780003710000,3,548651,6247343,834,"Torss"
45750004085000,329,473379,6628904,1863,"Hllefors"
45890004179000,14,494291,6721857,2029,"Leksand"
44550003799000,22,332880,6351850,1383,"Varberg"
48560004741000,4,801562,7266759,2581,"Pite"
44130003924000,17,300230,6479725,1484,"Lysekil"
46750004547000,1,607384,7084151,2283,"Sollefte"
46230003906000,3,508002,6446753,560,"Boxholm"
47680004039000,6222,662089,6569556,127,"Botkyrka"
46760004049000,18,571223,6585857,484,"Eskilstuna"
44600003841000,2,340930,6393426,1401,"Hrryda"
46500003685000,9,518954,6224345,1081,"Ronneby"
46680003955000,1,556383,6492537,581,"Norrkping"
44920003761000,2,366979,6311272,1382,"Falkenberg"
45700004042000,1,465222,6586299,1760,"Storfors"
45170004058000,5,413677,6606069,1763,"Forshaga"
44920003701000,368,362640,6251390,1278,"Bstad"
46770004219000,8,584763,6755681,2101,"Ockelbo"
44900003818000,1,369131,6368313,1463,"Mark"
48240004647000,3,762759,7174438,2482,"Skellefte"
45990004011000,10,491795,6553283,1814,"Lekeberg"
47010003821000,6,579543,6356500,882,"Oskarshamn"
46190003958000,37,507815,6498950,583,"Motala"
46370004111000,14,536980,6650515,2061,"Smedjebacken"
47140004007000,2,605980,6541284,482,"Flen"
45010003892000,6,385498,6441409,1466,"Herrljunga"
44950003925000,5,381948,6474793,1494,"Lidkping"
44780004030000,1,372793,6580905,1785,"Sffle"
46670003982000,2,557358,6519566,562,"Finspng"
47190003874000,2,601303,6408154,883,"Vstervik"
45050003890000,2,389334,6439126,1466,"Herrljunga"
47070003925000,1,593042,6459889,563,"Valdemarsvik"
45680004217000,138,476254,6761342,2062,"Mora"
46920004042000,24,586636,6577758,484,"Eskilstuna"
45450003915000,56,430994,6461238,1499,"Falkping"
46980004036000,20,592169,6571350,484,"Eskilstuna"
45500004120000,2,451113,6665660,1782,"Filipstad"
